,T,phi,replicate_id,err_mu_hat,phi_hat,Dt,boot_mean_Dt,boot_sig_Dt
482,500.0,0.6,232.0,0.0001334576927519991,0.5897435897435898,0.02280269495944157,0.05398122494293735,0.0018202116037697026
483,500.0,0.6,233.0,0.0001910994454380629,0.5641025641025641,0.022148144196978792,0.050908337745054426,0.0016275865358196474
484,500.0,0.6,234.0,0.0002466558408661763,0.641025641025641,0.02077911008875247,0.05717870339039829,0.0018131482040929239
485,500.0,0.6,235.0,0.00010910105132893757,0.6153846153846154,0.020064783049646425,0.0512646879831788,0.0016276402355765022
486,500.0,0.6,236.0,7.175248814732191e-05,0.6153846153846154,0.02277426512698089,0.05955289772797316,0.0020515321429077776
487,500.0,0.6,237.0,6.310909369745161e-05,0.641025641025641,0.021122224159204887,0.056826841916315575,0.0018560227944328094
488,500.0,0.6,238.0,0.00012923596251383286,0.5897435897435898,0.020907385714605927,0.049990008207602916,0.001660213992648359
489,500.0,0.6,239.0,5.7971312296829935e-05,0.641025641025641,0.020846324267971107,0.057892449195018576,0.001962367071601779
490,500.0,0.6,240.0,0.00010944048850386402,0.641025641025641,0.020628923830928167,0.058053199783530476,0.0020169731915300046
491,500.0,0.6,241.0,0.0002146494628467211,0.5897435897435898,0.023535262305624378,0.05817626657207778,0.0020086765010001134
492,500.0,0.6,242.0,6.733855949029596e-05,0.5897435897435898,0.022204242928318928,0.05406922797479035,0.0017454180629978612
493,500.0,0.6,243.0,0.00024352149384492742,0.6153846153846154,0.020568773270204354,0.05339156389302404,0.0016520736618405938
494,500.0,0.6,244.0,0.00010655829844598108,0.6153846153846154,0.02137930602616315,0.054911388993254664,0.0018142419326094403
495,500.0,0.6,245.0,2.4995431215532778e-05,0.6153846153846154,0.021391929260962356,0.05514374302391514,0.0017203427954411007
496,500.0,0.6,246.0,0.0002749455586195259,0.5897435897435898,0.02021209680298298,0.050197771174857735,0.001511383271096183
497,500.0,0.6,247.0,0.00014438678017866972,0.5641025641025641,0.022864834455937434,0.05186659393953955,0.0016614538128059703
498,500.0,0.6,248.0,1.5128825441525897e-05,0.6923076923076923,0.02091123179282764,0.06673053785516762,0.0022113372421824653
499,500.0,0.6,249.0,0.0005381267955235265,0.5897435897435898,0.02259812141145236,0.05431661094251115,0.0018927353024535422
500,500.0,0.8,0.0,0.0003108162752578275,0.7948717948717948,0.018617656554416225,0.08551887997981052,0.0027123963773779437
501,500.0,0.8,1.0,0.00034815423928994223,0.7948717948717948,0.01733860884102116,0.0841218753542908,0.002672739141519032
502,500.0,0.8,2.0,0.00041407990792705014,0.7692307692307692,0.017064057537664636,0.0771570782739871,0.002537139075529587
503,500.0,0.8,3.0,0.0006933924417578416,0.7948717948717948,0.016174150794248367,0.07784576289660998,0.002528918522535136
504,500.0,0.8,4.0,0.0010609088272748248,0.8205128205128205,0.01619992923931994,0.0919619368546539,0.0029908427130644613
505,500.0,0.8,5.0,0.00055669543798416,0.8461538461538461,0.015230567790096535,0.09189915727391697,0.0032511629816474315
506,500.0,0.8,6.0,0.0001684605886566152,0.7948717948717948,0.015948066156261004,0.07680401060671237,0.0024489989322209367
